sku,name,color,category,gender,movement,price_suggested,status,description,brand,price,stock,,,,,,,,,,,,,,,sku,name,color,category,gender,movement,price_suggested,status,description,brand,price,stock,,
1967G-9,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1967G-9,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1969G-2,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1969G-2,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1969G-3,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1969G-3,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1969G-4,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1969G-4,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1969G-5,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1969G-5,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1969G-6,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1969G-6,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1969G-7,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1969G-7,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1971BG-3,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1971BG-3,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1972G,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1972G,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1972G-1,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1972G-1,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1973G-1,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1973G-1,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1973G-2,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1973G-2,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1973G-3,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1973G-3,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1973G-5,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1973G-5,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1973G-6,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1973G-6,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1976G,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1976G,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1976G-1,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1976G-1,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1976G-3,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1976G-3,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1976G-4,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1976G-4,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1976G-5,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1976G-5,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
1976G-7,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,,,,,,,,,,,,,,1976G-7,JOEFOX LUZ LED,,LUZ LED,HOMBRE,ANA - DIGL,,active,JOEFOX LUZ LED,JOEFOX,,,,
